Date,Stylet,HeureStylet,Lumiere,HeureLumiere,Base1,HeureBase1,Final1A,HeureFinal1A,Final1B,HeureFinal1B,Base2,HeureBase2,Final2A,HeureFinal2A,Final2B,HeureFinal2B
15/08/778,Roncevaux,09:42,Bourges,11:23,Saint-Amour,09:42,Jumièges,11:00,Grotte de Lombrives,10:25,Rocamadour,10:25,St Julien de Mailloc,09:42,Taillebourg,08:12
20/03/1815,Golfe-Juan,12:00,Strasbourg,10:17,Aléria,12:00,Sainte-Mère-Église,12:00,Massif des Maures,11:00,Île-d'Aix,09:42,Mayence,11:38,Carnac,08:01
30/05/1431,Sainte-Catherine-de-Fierbois,11:42,Orléans,10:56,Domrémy,11:42,Rouen,08:01,3RDV,11:42,Coetquidan,11:42,Chinon,10:25,Vézelay,11:42
12/04/1365,Alise-Sainte-Reine,11:00,Sedan,09:22,Bouvines,11:00,Waterloo,08:12,Observatoire de Paris,11:00,Reims,10:22,Thury-sous-Clermont,08:12,La Ferté-Alais,11:00
27/07/1214,Vouneuil-sur-Vienne,12:00,Cherbourg,05:31,Metz,11:38,Bordeaux,08:12,Troyes,11:38,Château-Gaillard,11:00,Montereau,10:25,Guérande,10:25
15/06/1066,Nouaillé-Maupertuis,11:42,Mont Saint Michel,07:31,Gergovie,10:25,Pevensey,12:00,Solesmes,11:00,Carignan,11:42,Bâle,08:01,Boulogne-sur-Mer,09:42
19/7/933,Saint-Valentin,11:38,Pont Tancarville,08:53,Châlus,11:38,Saint-Valery-sur-Somme,11:00,Lampouy,08:12,Fontevraud,11:38,Crécy-en-Ponthieu,08:12,Beaufort-en-Vallée,10:25
18/05/1152,Loudun,12:00,Burgos,14:47,Pont de Noirmoutier,12:00,Mirebeau,11:38,Lac-de-Trémelin,08:01,Le Goulet,10:09,Beaugency,11:38,Pic du Midi,11:38
