Note,Date,Evènement
C,15/08/778,15 Aout 778 : Bataille de Roncevaux
B,20/03/1815,20 Mars 1815 : Début des 100 jours
A,30/05/1431,30 Mai 1431 : Mort de Jeanne d’Arc
G,12/04/1365,12 Avril 1365 : Traité de Guérande
F,27/07/1214,27 Juillet 1214 : Bataille des Bouvines
E,15/06/1066,15 Juin 1066 : Guillaume le conquérant
D,19/07/933,19 Juillet 933 : Hommage de Guillaume Longue Epée
E,28/09/1066,28 Septembre 1066: Débarquement de Guillaume le Conquérant
F,18/05/1152,18 Mai 1152 : Mariage d’Aliénor d’Aquitaine
